,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
79,0.0019998550415039062,0.0039997100830078125,0.0,0.0,100,0.01,6,500,"{'pca__n_components': 100, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
63,0.0002013683319091797,0.0004027366638183594,0.0,0.0,50,1.0,6,500,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
47,0.0,0.0,0.0,0.0,50,0.01,6,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
61,0.0,0.0,0.0,0.0,50,1.0,6,100,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",,,,,,,,33
32,0.0,0.0,0.0,0.0,50,0.001,4,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",,,,,,,,33
33,0.003999567031860352,0.004898449215279813,0.0,0.0,50,0.001,4,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",,,,,,,,33
34,0.0,0.0,0.0,0.0,50,0.001,4,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",,,,,,,,33
35,0.002002382278442383,0.004004764556884766,0.0,0.0,50,0.001,4,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
36,0.0,0.0,0.0,0.0,50,0.001,6,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
37,0.0,0.0,0.0,0.0,50,0.001,6,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",,,,,,,,33
38,0.0,0.0,0.0,0.0,50,0.001,6,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
39,0.001802825927734375,0.00360565185546875,0.0,0.0,50,0.001,6,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
40,0.0020019054412841798,0.004003810882568359,0.0,0.0,50,0.01,4,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",,,,,,,,33
41,0.0,0.0,0.0,0.0,50,0.01,4,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",,,,,,,,33
42,0.0,0.0,0.0,0.0,50,0.01,4,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",,,,,,,,33
43,0.0,0.0,0.0,0.0,50,0.01,4,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
44,0.0,0.0,0.0,0.0,50,0.01,6,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
45,0.0,0.0,0.0,0.0,50,0.01,6,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",,,,,,,,33
46,0.0,0.0,0.0,0.0,50,0.01,6,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
94,0.0019999027252197267,0.0039998054504394535,0.0,0.0,100,1.0,6,200,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
48,0.0,0.0,0.0,0.0,50,0.1,4,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",,,,,,,,33
49,0.0,0.0,0.0,0.0,50,0.1,4,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",,,,,,,,33
50,0.0020000457763671873,0.004000091552734375,0.0,0.0,50,0.1,4,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",,,,,,,,33
51,0.0,0.0,0.0,0.0,50,0.1,4,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
52,0.0,0.0,0.0,0.0,50,0.1,6,50,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
53,0.0,0.0,0.0,0.0,50,0.1,6,100,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100}",,,,,,,,33
54,0.0,0.0,0.0,0.0,50,0.1,6,200,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
55,0.0,0.0,0.0,0.0,50,0.1,6,500,"{'pca__n_components': 50, 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
56,0.0,0.0,0.0,0.0,50,1.0,4,50,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50}",,,,,,,,33
57,0.0019998550415039062,0.0039997100830078125,0.0,0.0,50,1.0,4,100,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 100}",,,,,,,,33
58,0.0,0.0,0.0,0.0,50,1.0,4,200,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 200}",,,,,,,,33
59,0.0,0.0,0.0,0.0,50,1.0,4,500,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 500}",,,,,,,,33
60,0.0,0.0,0.0,0.0,50,1.0,6,50,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 50}",,,,,,,,33
62,0.0,0.0,0.0,0.0,50,1.0,6,200,"{'pca__n_components': 50, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 200}",,,,,,,,33
95,0.0020001411437988283,0.004000282287597657,0.0,0.0,100,1.0,6,500,"{'pca__n_components': 100, 'xgb__learning_rate': 1.0, 'xgb__max_depth': 6, 'xgb__n_estimators': 500}",,,,,,,,33
