,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
176,4.221414089202881,0.042126201922119764,0.008800172805786132,0.0014691136524795651,mle,0.1,6,200,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8275359603655361,0.7997512437810945,0.8233917701992829,0.8393985032935878,0.8274802939839845,0.8235115543246971,0.013030031399578527,175
180,4.445940113067627,0.016065131325825932,0.007503890991210937,0.0004483820920584324,mle,0.1,6,200,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8291934678074064,0.7965611274173068,0.8210987659468023,0.8362039314600183,0.8334090754757391,0.8232932736214547,0.014305595611687004,176
155,7.220390129089355,0.0916852941292992,0.0069026947021484375,0.0008018179800241287,mle,0.1,4,500,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8309680676117321,0.7976149586794063,0.8231233844742767,0.8411521304094055,0.8226667502442031,0.8231050582838048,0.014404592015233872,177
158,7.459401178359985,0.050253806710352775,0.0069999217987060545,3.504023183989303e-07,mle,0.1,4,500,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.831392202169071,0.7958299506650848,0.8207626323688818,0.8373843075127156,0.829240645845413,0.8229219477122334,0.014556578955339556,178
159,7.407008934020996,0.01784807871359446,0.00780029296875,0.0011660487027312263,mle,0.1,4,500,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8271586627531797,0.7969722517121505,0.8202493120987243,0.8397216084382557,0.8300111262595395,0.8228225922523699,0.014359074854638212,179
153,7.240182113647461,0.022383856653601757,0.008202362060546874,0.0009812649207943114,mle,0.1,4,500,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8256468702512543,0.7978621536668125,0.8235845910114233,0.8403157049945802,0.8231316502906931,0.8221081940429528,0.013675769586987095,180
154,7.493126773834229,0.05306322681854578,0.007602882385253906,0.0010210358243008053,mle,0.1,4,500,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8270337642332272,0.795241886800308,0.8226126698907695,0.836751125656633,0.8280810075272018,0.821944090821628,0.014115732359752586,181
157,7.278231906890869,0.026020782139897062,0.007601356506347657,0.000801137763603618,mle,0.1,4,500,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8259799329711276,0.7949894877079041,0.8220654756941549,0.8383562286333694,0.8277310265933273,0.8218244303199768,0.014461180347125322,182
152,7.258083391189575,0.030141846328745166,0.007400369644165039,0.0008003831739778303,mle,0.1,4,500,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8276296342555006,0.7943936176856304,0.8171511506712248,0.8450163637121653,0.8244793380659113,0.8217340208780864,0.016449090293753584,183
156,7.329727840423584,0.043669826500993145,0.007001018524169922,0.0006322633011343978,mle,0.1,4,500,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8237942088719582,0.7958273486125856,0.8240770657883765,0.8357557533561245,0.8271668782223056,0.8213242509702701,0.013462356893318067,184
