,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,1.3809986114501953,0.09851318192111025,0.006703567504882812,0.0008753747848586703,mle,0.001,4,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7847715736040609,0.8030456852791878,0.7794715447154471,0.7957317073170732,0.8058943089430894,0.7937829639717717,0.010220588643992584,26
27,4.655712842941284,0.11263639335756014,0.006999492645263672,0.0006325612181530399,mle,0.01,6,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.8030456852791878,0.8030456852791878,0.782520325203252,0.7845528455284553,0.7957317073170732,0.7937792497214313,0.008802677572115367,27
10,4.887481737136841,0.10413388776048008,0.007200288772583008,0.0007483798007377633,mle,0.001,6,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7959390862944162,0.7959390862944162,0.7865853658536586,0.7876016260162602,0.7997967479674797,0.7931723824852461,0.005169402938814505,28
32,1.160728931427002,0.023736600776004573,0.006602573394775391,0.0010209308877460253,mle,0.1,4,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7878172588832487,0.8040609137055837,0.7886178861788617,0.790650406504065,0.7936991869918699,0.7929691304527259,0.005906136240014126,29
12,8.670117378234863,0.22032047966321477,0.0067024707794189455,0.0007473756967392784,mle,0.001,6,200,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 200, 'xgb__subsample': 0.9}",0.798984771573604,0.7959390862944162,0.7835365853658537,0.7896341463414634,0.7957317073170732,0.7927652593784822,0.005523180523790636,30
15,23.92982621192932,0.5587113758528878,0.008001708984375,0.0008945803468115783,mle,0.001,6,500,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__subsample': 1}",0.8010152284263959,0.7949238578680203,0.7835365853658537,0.7886178861788617,0.7957317073170732,0.792765053031241,0.006064494676035933,31
41,2.460182285308838,0.033557916640399574,0.006199836730957031,0.00040066302868934224,mle,0.1,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.7949238578680203,0.7969543147208121,0.7784552845528455,0.7947154471544715,0.7967479674796748,0.7923593743551649,0.007011770026614557,32
34,2.2374776363372804,0.01138632454909153,0.006600189208984375,0.0010199918356749607,mle,0.1,4,100,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 4, 'xgb__n_estimators': 100, 'xgb__subsample': 0.9}",0.7878172588832487,0.7888324873096447,0.790650406504065,0.7987804878048781,0.7947154471544715,0.7921592175312616,0.004063785907429577,33
25,2.5926115036010744,0.06508984923380276,0.007001399993896484,0.0010957171013135623,mle,0.01,6,50,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.01, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 1}",0.8020304568527918,0.7939086294416243,0.7815040650406504,0.7855691056910569,0.7977642276422764,0.79215529693368,0.007601048847741732,34
8,2.5220332622528074,0.07930939668004336,0.007000398635864258,0.0006324854848448088,mle,0.001,6,50,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.001, 'xgb__max_depth': 6, 'xgb__n_estimators': 50, 'xgb__subsample': 0.9}",0.7969543147208121,0.7928934010152284,0.7835365853658537,0.790650406504065,0.7936991869918699,0.7915467789195658,0.004486744461081092,35
43,4.058902359008789,0.12263595909984466,0.007302761077880859,0.0004013536122853871,mle,0.1,6,100,1,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 100, 'xgb__subsample': 1}",0.7979695431472081,0.7898477157360406,0.7784552845528455,0.7896341463414634,0.7916666666666666,0.7895146712888448,0.006301605670238561,36
