,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bag__max_features,param_bag__max_samples,param_bag__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.17383880615234376,0.0076004537728307855,0.005799674987792968,0.0004007339761235601,1.0,0.75,10,3,"{'bag__max_features': 1.0, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.777607777014509,0.7670928828660049,0.7943409697323439,0.7786208621695989,0.7960316340975455,0.7827388251760004,0.01094887494363092,47
73,0.16073846817016602,0.005848318381935016,0.006003093719482422,0.0006330150829049095,1.0,1.0,10,2,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 2}",0.7612851016882116,0.7728095922063324,0.7750745226382056,0.8013841407487701,0.7826775108520208,0.7786461736267081,0.013277771055280009,48
9,0.539435338973999,0.013148503541232998,0.006703615188598633,0.0004006692426952796,0.5,0.75,10,mle,"{'bag__max_features': 0.5, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7533098107787423,0.7836913757571973,0.780515196364546,0.7807471024764445,0.792894864682745,0.778231670011935,0.013247328979870401,49
72,1.5994436740875244,0.0967143974067417,0.006001710891723633,1.4697108275816383e-06,1.0,1.0,10,mle,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 'mle'}",0.7738530152584358,0.766434563583755,0.7838765321437505,0.7713588134745268,0.7883346653503205,0.7767715179621577,0.008109935360583862,50
74,0.20124049186706544,0.002482121107172299,0.0054015636444091795,0.0004896336691007805,1.0,1.0,10,3,"{'bag__max_features': 1.0, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.7724869376964549,0.7586622327692083,0.7774170349370465,0.7944660426915702,0.7791646425232058,0.7764393781234972,0.011532494930586787,51
29,0.10651564598083496,0.003406961069074099,0.006000900268554687,0.0006330144579112857,0.75,0.5,10,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.7670980869710027,0.7350121776056954,0.7863753856416243,0.7751579046110231,0.7938142175836689,0.7714915544826029,0.02041234594680905,52
47,0.16013364791870116,0.00857420816211806,0.006000089645385742,2.228416718587479e-06,0.75,1.0,10,3,"{'bag__max_features': 0.75, 'bag__max_samples': 1.0, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.7507624013822103,0.7632132225899789,0.7680990994746936,0.765834757775369,0.7994713720819686,0.7694761706608441,0.01615114856782856,53
38,0.13582749366760255,0.005101798279757511,0.005800867080688476,0.0007474117196768727,0.75,0.75,10,3,"{'bag__max_features': 0.75, 'bag__max_samples': 0.75, 'bag__n_estimators': 10, 'pca__n_components': 3}",0.7430785403526301,0.7617820937155229,0.7694436337863753,0.7815001459184524,0.7830483861700072,0.7677705599885976,0.014630586048236064,54
7,0.7808081626892089,0.03568369919515209,0.03720998764038086,0.004344622947998642,0.5,0.5,100,2,"{'bag__max_features': 0.5, 'bag__max_samples': 0.5, 'bag__n_estimators': 100, 'pca__n_components': 2}",0.7113543162846854,0.7263629550989822,0.7340453806387057,0.7675649337113317,0.7008968914380037,0.7280448954343417,0.022874692237188167,55
31,0.3830737113952637,0.008519997847693809,0.01780385971069336,0.0005113714800974043,0.75,0.5,50,2,"{'bag__max_features': 0.75, 'bag__max_samples': 0.5, 'bag__n_estimators': 50, 'pca__n_components': 2}",0.6965356273028165,0.7236307999750203,0.7468809930792963,0.7306267197531893,0.7387157266805614,0.7272779733581769,0.017231995823715623,56
