,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
37,0.5078897476196289,0.01469027839069646,0.006405973434448242,0.0008648000075458444,0.0001,1000,l2,liblinear,0.01,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8248402339765608,0.8222407835300485,0.8340490286000167,0.8400473192695739,0.8447286080683664,0.8331811946889133,0.008608179600129235,2555
7,0.45309791564941404,0.04277678785676704,0.015289592742919921,0.007848509874666159,0.0001,100,l2,liblinear,0.01,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8248402339765608,0.8222407835300485,0.8340490286000167,0.8400473192695739,0.8447286080683664,0.8331811946889133,0.008608179600129235,2555
67,0.5735462665557861,0.08613660671210957,0.021003198623657227,0.026183960299682,0.0001,10000,l2,liblinear,0.01,0.9,,"{'logistic__C': 0.0001, 'logistic__max_iter': 10000, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8248402339765608,0.8222407835300485,0.8340490286000167,0.8400473192695739,0.8447286080683664,0.8331811946889133,0.008608179600129235,2555
6,0.4584007740020752,0.030788686072956532,0.009827232360839844,0.0026831369219136405,0.0001,100,l2,liblinear,0.01,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.85}",0.8247986011365765,0.8222355794250505,0.8341219878262319,0.8399535145501542,0.8447912912207022,0.8331801948317432,0.008621114924152807,2558
36,0.5111135005950928,0.008849304765399342,0.007819223403930663,0.0006041966996568449,0.0001,1000,l2,liblinear,0.01,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.85}",0.8247986011365765,0.8222355794250505,0.8341219878262319,0.8399535145501542,0.8447912912207022,0.8331801948317432,0.008621114924152807,2558
66,0.5371819496154785,0.029313565154771765,0.008425474166870117,0.0012293655130944114,0.0001,10000,l2,liblinear,0.01,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 10000, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear', 'logistic__tol': 0.01, 'pca__n_components': 0.85}",0.8247986011365765,0.8222355794250505,0.8341219878262319,0.8399535145501542,0.8447912912207022,0.8331801948317432,0.008621114924152807,2558
666,0.37428722381591795,0.02607803491118119,0.0060843944549560545,0.0020623228447963706,0.0001,100,l2,sag,0.01,0.85,,"{'logistic__C': 0.0001, 'logistic__max_iter': 100, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.01, 'pca__n_components': 0.85}",0.8250119694414954,0.8221783342700723,0.833955223880597,0.8398961894438423,0.8448487507770099,0.8331780935626034,0.008597921507804205,2561
713,0.3760019302368164,0.01581595356926754,0.007077789306640625,0.0015657283701813337,0.0001,1000,l2,sag,0.01,0.95,,"{'logistic__C': 0.0001, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.01, 'pca__n_components': 0.95}",0.8254126855263432,0.8219545577551572,0.8340073376136079,0.8400316851496707,0.8444517574788836,0.8331716047047324,0.008497340394499245,2562
1598,0.35084309577941897,0.012914081604691787,0.006585550308227539,0.0008343599852797823,0.0001,1000,elasticnet,saga,0.01,0.95,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.95}",0.8248402339765607,0.8220638439601158,0.8343304427582757,0.8400942216292838,0.8445248878232753,0.8331707260295023,0.008613438934569027,2563
1613,0.3597408771514893,0.013390172784933924,0.006005001068115234,0.0008375503640381299,0.0001,10000,elasticnet,saga,0.01,0.95,0,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.95}",0.8248038052415745,0.8220222111201315,0.8344138247310932,0.8400994330025848,0.8445039934391634,0.8331686535069096,0.008628904351756336,2564
