,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1661,0.02652254104614258,0.005655394859105532,0.004311656951904297,0.000886333150274633,0.0001,10000,elasticnet,saga,0.1,0.85,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.85}",0.8268125897708112,0.8235574220945482,0.8239285416492954,0.8388018010506127,0.8452196260949962,0.8316639961320528,0.008761202030656745,3266
2173,0.017908334732055664,0.0019674971204359797,0.002807474136352539,0.00040311026514738694,0.001,100,elasticnet,saga,0.1,0.95,0.5,"{'logistic__C': 0.001, 'logistic__l1_ratio': 0.5, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.95}",0.8268125897708112,0.8235574220945482,0.8212863753856416,0.8382858750938046,0.8452196260949962,0.8310323776879605,0.00919301228157055,3267
1647,0.028922367095947265,0.006569406067452752,0.004128932952880859,0.0008091952144602634,0.0001,1000,elasticnet,saga,0.1,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1662,0.040856552124023435,0.028287365134329296,0.003617095947265625,0.0011538221099730937,0.0001,10000,elasticnet,saga,0.1,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1652,0.054619455337524415,0.028419295107697962,0.004810190200805664,0.0016905316559243189,0.0001,10000,elasticnet,saga,0.001,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1637,0.041627693176269534,0.01082497443318907,0.003326892852783203,0.0005076139279187176,0.0001,1000,elasticnet,saga,0.001,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1622,0.03684000968933106,0.01350672774136394,0.002911949157714844,0.0004940000187827738,0.0001,100,elasticnet,saga,0.001,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1627,0.049216842651367186,0.04665603953058094,0.0025983333587646486,0.0005965266467761256,0.0001,100,elasticnet,saga,0.01,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.5,0.8388018010506127,0.8452196260949962,0.7668782878021936,0.1336705071138204,3268
1632,0.019264984130859374,0.0028250528629722516,0.002800178527832031,0.0004013831380694225,0.0001,100,elasticnet,saga,0.1,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.17103727174184943,0.8388018010506127,0.8452196260949962,0.7010857421505635,0.2651408014483298,3274
1642,0.028890085220336915,0.005401721087111099,0.003915309906005859,0.0010253824914172565,0.0001,1000,elasticnet,saga,0.01,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.17103727174184943,0.8388018010506127,0.8452196260949962,0.7010857421505635,0.2651408014483298,3274
